"Last_Name","Name","Pos","Team","Num","feet","inches","Weight","DOB","Pos_r","Cm","Kg","Dob","Age","Cm_j"
"Alexandre"," Deslin","DE","NYJ",98,6,3,264,"6/11/98","DL-DE",190.5,120,1998-06-11,25.2,188.02
"Alford"," Dee","CB","ATL",20,5,11,175,"11/5/97","DB-CB-S",180.34,79.55,1997-11-05,25.8,181.32
"Ali"," Alan","OL","MIN",66,6,4,301,"9/11/98","OL-G-C",193.04,136.82,1998-09-11,24.9,192.98
"Ali"," Josh","WR","ATL",80,6,0,193,"3/3/99","WR-TE",182.88,87.73,1999-03-03,24.4,180.91
"Alie-Cox"," Mo","TE","IND",81,6,5,267,"9/19/93","WR-TE",195.58,121.36,1993-09-19,29.9,195.02
"Allegretti"," Nick","G","KC",73,6,4,310,"4/21/96","OL-G-C",193.04,140.91,1996-04-21,27.3,195.29
"Allen"," Austin","TE","GB",49,6,8,253,"11/10/98","WR-TE",203.2,115,1998-11-10,24.8,205.46
"Allen"," Brandon","QB","SF",4,6,2,209,"9/5/92","QB",187.96,95,1992-09-05,30.9,188.81
"Allen"," Brevin","LB","LAC",90,6,3,265,"9/22/00","LB",190.5,120.45,2000-09-22,22.9,190.22
"Allen"," Brian","C","LAR",55,6,2,303,"10/11/95","OL-G-C",187.96,137.73,1995-10-11,27.8,188.16
"Allen"," Chase","TE","CHI",87,6,6,251,"7/9/97","WR-TE",198.12,114.09,1997-07-09,26.1,196.02
"Allen"," Christopher","LB","DEN",45,6,4,242,"8/12/98","LB",193.04,110,1998-08-12,25,194.32
"Allen"," Davis","TE","LAR",87,6,6,250,"2/3/01","WR-TE",198.12,113.64,2001-02-03,22.5,198.58
"Allen"," Devon","WR","PHI",82,6,1,190,"12/12/94","WR-TE",185.42,86.36,1994-12-12,28.7,184.56
"Allen"," Jonathan","DT","WAS",93,6,3,300,"1/16/95",NA,190.5,136.36,1995-01-16,28.6,190.1
"Allen"," Josh","QB","BUF",17,6,5,237,"5/21/96","QB",195.58,107.73,1996-05-21,27.2,193.89
"Allen"," Josh","LB","JAC",41,6,5,255,"7/13/97","LB",195.58,115.91,1997-07-13,26.1,195.81
"Allen"," Kazmeir","WR","WAS",10,5,8,176,"2/29/00","WR-TE",172.72,80,2000-02-29,23.5,173.9
"Allen"," Keenan","WR","LAC",13,6,2,211,"4/27/92","WR-TE",187.96,95.91,1992-04-27,31.3,185.64
"Allen"," Kyle","QB","BUF",9,6,3,210,"3/8/96","QB",190.5,95.45,1996-03-08,27.4,190.24
"Allen"," Zach","DE","DEN",99,6,5,285,"8/20/97","DL-DE",195.58,129.55,1997-08-20,26,196.65
"Allgeier"," Tyler","RB","ATL",25,5,11,220,"4/15/00","RB-FB",180.34,100,2000-04-15,23.3,180.78
"Al-Shaair"," Azeez","LB","TEN",2,6,2,228,"8/4/97","LB",187.96,103.64,1997-08-04,26,187.7
"Amadi"," Ugo","S","NO",0,5,9,201,"5/17/97","DB-CB-S",175.26,91.36,1997-05-17,26.2,173.35
"Amos"," Adrian","S","NYJ",0,6,0,218,"4/29/93","DB-CB-S",182.88,99.09,1993-04-29,30.3,181.95
"Amos"," Jaquan","S","BAL",NA,6,0,195,"11/4/98","DB-CB-S",182.88,88.64,1998-11-04,24.8,183.25
"Anae"," Bradlee","DL","NYJ",50,6,3,260,"1/17/98","DL-DE",190.5,118.18,1998-01-17,25.6,188.54
"Anchrum Jr."," Tremayne","OT","LAR",72,6,2,314,"6/24/98","OL-G-C",187.96,142.73,1998-06-24,25.1,188.88
"Andersen"," Troy","LB","ATL",44,6,4,235,"4/23/99","LB",193.04,106.82,1999-04-23,24.3,193.86
"Anderson"," Abdullah","DL","WAS",92,6,4,295,"1/24/96","DL-DE",193.04,134.09,1996-01-24,27.6,193.48
"Anderson"," Alec","OT","BUF",70,6,5,305,"10/3/99","OL-G-C",195.58,138.64,1999-10-03,23.9,195.06
"Anderson"," Calvin","OT","NE",76,6,5,300,"3/25/96","OL-G-C",195.58,136.36,1996-03-25,27.4,195.9
"Anderson"," Chosen","WR","MIA",NA,6,3,190,"5/9/93","WR-TE",190.5,86.36,1993-05-09,30.3,187.88
"Anderson"," Henry","DE","CAR",94,6,6,300,"8/3/91","DL-DE",198.12,136.36,1991-08-03,32,198.29
"Anderson"," Jack","G","NYG",77,6,4,314,"10/12/98","OL-G-C",193.04,142.73,1998-10-12,24.8,193.99
"Anderson"," Liam","LB","IND",47,6,3,226,"4/30/00","LB",190.5,102.73,2000-04-30,23.3,192.75
"Anderson"," Nick","LB","NO",40,5,11,230,NA,"LB",180.34,104.55,NA,NA,180.68
"Anderson"," Ryder","DL","NYG",90,6,6,276,"10/15/98","DL-DE",198.12,125.45,1998-10-15,24.8,198.81
"Anderson"," Spencer","OL","PIT",74,6,5,305,"6/7/00","OL-G-C",195.58,138.64,2000-06-07,23.2,193.75
"Anderson"," Tycen","S","CIN",26,6,2,209,"6/13/99","DB-CB-S",187.96,95,1999-06-13,24.2,188.48
"Anderson"," Zayne","S","BUF",38,6,2,206,"1/3/97","DB-CB-S",187.96,93.64,1997-01-03,26.6,184.05
"Anderson Jr."," Will","DE","HOU",51,6,4,243,"9/2/01","DL-DE",193.04,110.45,2001-09-02,21.9,193.1
"Andrews"," David","C","NE",60,6,3,300,"7/10/92","OL-G-C",190.5,136.36,1992-07-10,31.1,191.01
"Andrews"," Jake","C","NE",53,6,3,305,"11/11/99","OL-G-C",190.5,138.64,1999-11-11,23.8,190.77
"Andrews"," Josh","G","PHI",NA,6,2,298,"6/21/91","OL-G-C",187.96,135.45,1991-06-21,32.2,186.57
"Andrews"," Mark","TE","BAL",89,6,5,247,"9/6/95","WR-TE",195.58,112.27,1995-09-06,27.9,194.77
"Anenih"," David","LB","ARI",NA,6,2,245,"8/15/99","LB",187.96,111.36,1999-08-15,24,186.68
"Anger"," Bryan","P","DAL",5,6,3,202,"10/6/88","S.TEAMS",190.5,91.82,1988-10-06,34.9,192.08
"Ankou"," Eli","DT","BUF",51,6,3,325,"6/8/94",NA,190.5,147.73,1994-06-08,29.2,190.57
"Anudike-Uzomah"," Felix","DE","KC",97,6,4,255,"1/24/02","DL-DE",193.04,115.91,2002-01-24,21.5,190.49
"Anyalebechi"," Kelechi","LB","LAR",54,6,0,240,NA,"LB",182.88,109.09,NA,NA,182.84
"Anzalone"," Alex","LB","DET",34,6,3,240,"9/22/94","LB",190.5,109.09,1994-09-22,28.9,191.73
"Apke"," Troy","CB","WAS",30,6,1,205,"4/11/95","DB-CB-S",185.42,93.18,1995-04-11,28.3,183.13
"Apple"," Eli","DB","MIA",NA,6,1,203,"8/9/95","DB-CB-S",185.42,92.27,1995-08-09,28,186.15
"Arcega-Whiteside"," J.J.","WR","ATL",83,6,2,237,"12/31/96","WR-TE",187.96,107.73,1996-12-31,26.6,189.53
"Arcuri"," AJ","OT","LAR",61,6,7,320,"8/13/97","OL-G-C",200.66,145.45,1997-08-13,26,200.76
"Arias"," Daniel","WR","ARI",87,6,3,216,"9/2/98","WR-TE",190.5,98.18,1998-09-02,24.9,188.36
"Armah"," Alex","RB","WAS",40,6,1,255,"5/17/94","RB-FB",185.42,115.91,1994-05-17,29.2,186.25
"Armour-Davis"," Jalyn","CB","BAL",5,6,1,195,"9/3/99","DB-CB-S",185.42,88.64,1999-09-03,23.9,186.52
"Armstead"," Arik","DL","SF",91,6,7,290,"11/15/93","DL-DE",200.66,131.82,1993-11-15,29.7,200.99
"Armstead"," Terron","OT","MIA",72,6,5,305,"7/23/91","OL-G-C",195.58,138.64,1991-07-23,32.1,196.16
"Armstrong"," Cornell","DB","ATL",22,5,11,185,"9/22/95","DB-CB-S",180.34,84.09,1995-09-22,27.9,178.29
"Armstrong"," Dorance","DE","DAL",92,6,4,255,"6/10/97","DL-DE",193.04,115.91,1997-06-10,26.2,191.4
"Arnold"," Dan","TE","PHI",46,6,6,240,"3/15/95","WR-TE",198.12,109.09,1995-03-15,28.4,197.09
"Arnold"," Grayland","S","HOU",25,5,10,187,"9/4/97","DB-CB-S",177.8,85,1997-09-04,25.9,178.94
"Asamoah II"," Brian","LB","MIN",33,6,0,226,"3/29/00","LB",182.88,102.73,2000-03-29,23.4,181.23
"Asiasi"," Devin","TE","CIN",86,6,3,260,"8/14/97","WR-TE",190.5,118.18,1997-08-14,26,191.36
"Ateman"," Marcell","WR","BUF",15,6,4,216,"9/16/94","WR-TE",193.04,98.18,1994-09-16,28.9,193.67
"Atkins"," Kevin","DT","NYG",NA,6,2,307,"7/30/98",NA,187.96,139.55,1998-07-30,25,190.63
"Atwell"," Tutu","WR","LAR",5,5,9,165,"10/7/99","WR-TE",175.26,75,1999-10-07,23.8,175.57
"Aubrey"," Brandon","K","DAL",NA,6,3,208,"3/14/95","S.TEAMS",190.5,94.55,1995-03-14,28.4,192.42
"Aumavae-Laulu"," Malaesala","OT","BAL",71,6,5,322,"5/25/99","OL-G-C",195.58,146.36,1999-05-25,24.2,195.62
"Austin"," Alex","CB","BUF",29,6,1,191,"5/22/01","DB-CB-S",185.42,86.82,2001-05-22,22.2,186.57
"Austin III"," Calvin","WR","PIT",19,5,9,162,"3/24/99","WR-TE",175.26,73.64,1999-03-24,24.4,174.43
"Austin Jr."," Kevin","WR","JAC",80,6,2,200,"3/30/00","WR-TE",187.96,90.91,2000-03-30,23.4,187.18
"Autry"," Denico","DL","TEN",96,6,5,285,"7/15/90","DL-DE",195.58,129.55,1990-07-15,33.1,195.1
"Averett"," Anthony","DB","SF",NA,5,11,185,"11/30/94","DB-CB-S",180.34,84.09,1994-11-30,28.7,178.87
"Avery"," Calvin","DL","MIN",69,6,1,343,"9/4/99","DL-DE",185.42,155.91,1999-09-04,23.9,185.39
"Avery"," Genard","DE","IND",NA,6,0,250,"4/26/95","DL-DE",182.88,113.64,1995-04-26,28.3,182.34
"Avery"," Tre","CB","TEN",23,5,11,181,"2/26/97","DB-CB-S",180.34,82.27,1997-02-26,26.5,179.96
"Avila"," Esteban","G","LAR",NA,6,3,332,"10/16/99","OL-G-C",190.5,150.91,1999-10-16,23.8,190.47
"Awatt"," Ronald","RB","SF",35,5,11,205,NA,"RB-FB",180.34,93.18,NA,NA,181.42
"Awosika"," Kayode","G","DET",74,6,5,315,"10/27/98","OL-G-C",195.58,143.18,1998-10-27,24.8,199.27
"Awuzie"," Chidobe","CB","CIN",22,6,0,202,"5/24/95","DB-CB-S",182.88,91.82,1995-05-24,28.2,183.12
"Baccellia"," Andre","WR","ARI",82,5,10,175,"1/7/97","WR-TE",177.8,79.55,1997-01-07,26.6,178.87
"Bachie"," Joe","LB","CIN",49,6,2,235,"2/26/98","LB",187.96,106.82,1998-02-26,25.5,189.66
"Bachman"," Alex","WR","HOU",14,6,0,190,"5/29/96","WR-TE",182.88,86.36,1996-05-29,27.2,184.43
"Bada"," David","DT","WAS",64,6,4,293,"4/24/95",NA,193.04,133.18,1995-04-24,28.3,193.34
"Badgley"," Michael","K","WAS",NA,5,10,183,"7/28/95","S.TEAMS",177.8,83.18,1995-07-28,28,177.76
"Badie"," Tyler","RB","DEN",36,5,8,197,"2/7/00","RB-FB",172.72,89.55,2000-02-07,23.5,171.66
"Bagent"," Tyson","QB","CHI",17,6,3,213,"6/8/00","QB",190.5,96.82,2000-06-08,23.2,189.53
"Bailey"," Jake","P","MIA",16,6,2,205,"6/18/97","S.TEAMS",187.96,93.18,1997-06-18,26.2,188.65
"Bailey"," Markus","LB","CIN",51,6,0,235,"3/7/97","LB",182.88,106.82,1997-03-07,26.4,182.61
"Bailey"," Quinn","OT","DEN",75,6,6,323,"10/18/95","OL-G-C",198.12,146.82,1995-10-18,27.8,197.84
"Bailey"," Zack","OT","LAC",78,6,5,300,"11/8/95","OL-G-C",195.58,136.36,1995-11-08,27.8,191.87
"Baker"," Budda","S","ARI",3,5,10,195,"1/10/96","DB-CB-S",177.8,88.64,1996-01-10,27.6,177.34
"Baker"," Jerome","LB","MIA",55,6,2,225,"12/25/96","LB",187.96,102.27,1996-12-25,26.6,190.5
"Baker"," Kawaan","WR","NO",15,6,1,215,"8/24/98","WR-TE",185.42,97.73,1998-08-24,25,184.06
"Baker Jr."," Darrell","CB","IND",39,6,1,190,"3/27/98","DB-CB-S",185.42,86.36,1998-03-27,25.4,186.67
"Baker-Williams"," Tyler","S","LAC",44,6,0,206,"11/23/99","DB-CB-S",182.88,93.64,1999-11-23,23.7,181.9
"Bakhtiari"," David","OT","GB",69,6,4,310,"9/30/91","OL-G-C",193.04,140.91,1991-09-30,31.9,195.34
"Baldonado"," Habakkuk","LB","NYG",45,6,5,260,"9/6/99","LB",195.58,118.18,1999-09-06,23.9,195.02
"Baldwin"," Daylen","WR","CLE",87,6,2,212,"11/24/99","WR-TE",187.96,96.36,1999-11-24,23.7,191.89
"Ball"," Josh","OT","DAL",75,6,8,304,"5/15/98","OL-G-C",203.2,138.18,1998-05-15,25.2,203.26
"Ballentine"," Corey","CB","GB",35,5,11,196,"4/13/96","DB-CB-S",180.34,89.09,1996-04-13,27.3,182.28
"Bandy"," Michael","WR","DEN",NA,5,10,190,"12/5/97","WR-TE",177.8,86.36,1997-12-05,25.7,178.33
"Banks"," Aaron","OL","SF",65,6,5,325,"9/3/97","OL-G-C",195.58,147.73,1997-09-03,25.9,196.44
"Banks"," Deonte","CB","NYG",36,6,2,205,"3/3/01","DB-CB-S",187.96,93.18,2001-03-03,22.4,188.19
"Banks"," Eric","DL","ARI",96,6,5,274,"1/30/98","DL-DE",195.58,124.55,1998-01-30,25.5,196.8
"Banks"," Keshawn","LB","GB",51,6,3,251,"12/21/99","LB",190.5,114.09,1999-12-21,23.6,189.3
"Banogu"," Ben","DE","DAL",NA,6,3,252,"1/19/96","DL-DE",190.5,114.55,1996-01-19,27.6,190.42
"Barber"," Taye","WR","TB",17,5,9,182,NA,"WR-TE",175.26,82.73,NA,NA,177.75
"Barbon"," Jose","WR","DAL",14,6,0,185,NA,"WR-TE",182.88,84.09,NA,NA,184.27
"Barcoo"," Luq","CB","PIT",35,6,1,180,"7/27/98","DB-CB-S",185.42,81.82,1998-07-27,25,184.3
"Bargas"," Jake","RB","NO",40,6,2,250,"11/28/96","RB-FB",187.96,113.64,1996-11-28,26.7,185.9
"Baringer"," Bryce","P","NE",59,6,3,215,"4/26/99","S.TEAMS",190.5,97.73,1999-04-26,24.3,189.97
"Barkley"," Matt","QB","BUF",5,6,2,234,"9/8/90","QB",187.96,106.36,1990-09-08,32.9,188.25
"Barkley"," Saquon","RB","NYG",26,6,0,232,"2/9/97","RB-FB",182.88,105.45,1997-02-09,26.5,187.13
"Barmore"," Christian","DL","NE",90,6,5,310,"7/28/99","DL-DE",195.58,140.91,1999-07-28,24,195.06
"Barnes"," Derrick","LB","DET",55,6,1,245,"5/29/99","LB",185.42,111.36,1999-05-29,24.2,188.62
"Barnes"," Kalon","CB","MIN",27,6,0,186,"12/16/98","DB-CB-S",182.88,84.55,1998-12-16,24.7,182.07
"Barnes"," Krys","LB","ARI",56,6,2,229,"4/2/98","LB",187.96,104.09,1998-04-02,25.4,186.51
"Barnes"," Zaire","LB","NYJ",53,6,1,232,"9/3/99","LB",185.42,105.45,1999-09-03,23.9,185.81
"Barnett"," Derek","DE","PHI",96,6,3,259,"6/25/96","DL-DE",190.5,117.73,1996-06-25,27.1,190.97
"Barno"," Amare","DE","CAR",90,6,6,245,"4/26/99","DL-DE",198.12,111.36,1999-04-26,24.3,197.58
"Barrett"," Alex","DL","SF",58,6,2,250,"3/6/94","DL-DE",187.96,113.64,1994-03-06,29.4,188.82
"Barrett"," Shaquil","LB","TB",7,6,2,250,"11/17/92","LB",187.96,113.64,1992-11-17,30.7,188.55
"Bars"," Alex","OL","LV",64,6,5,334,"9/8/95","OL-G-C",195.58,151.82,1995-09-08,27.9,196.94
"Bartch"," Ben","OL","JAC",78,6,6,315,"7/22/98","OL-G-C",198.12,143.18,1998-07-22,25.1,198.44
"Barton"," Cody","LB","WAS",57,6,2,237,"11/13/96","LB",187.96,107.73,1996-11-13,26.7,188.25
"Barton"," Jackson","OL","ARI",66,6,7,302,"8/8/95","OL-G-C",200.66,137.27,1995-08-08,28,201.25
"Basham"," Boogie","DE","BUF",55,6,3,274,"12/16/97","DL-DE",190.5,124.55,1997-12-16,25.7,192.66
"Basham"," Tarell","DE","CIN",52,6,4,266,"3/18/94","DL-DE",193.04,120.91,1994-03-18,29.4,195.34
"Baskerville"," Micah","LB","CHI",47,6,0,224,"10/19/99","LB",182.88,101.82,1999-10-19,23.8,181.19
"Bass"," T.J.","G","DAL",66,6,4,325,"3/31/99","OL-G-C",193.04,147.73,1999-03-31,24.4,194.11
"Bass"," Tyler","K","BUF",2,5,10,183,"2/14/97","S.TEAMS",177.8,83.18,1997-02-14,26.5,179.98
"Bassey"," Essang","CB","DEN",34,5,10,190,"8/12/98","DB-CB-S",177.8,86.36,1998-08-12,25,181.04
"Bateman"," Rashod","WR","BAL",7,6,1,197,"11/29/99","WR-TE",185.42,89.55,1999-11-29,23.7,185.81
"Bates"," Jake","K","HOU",NA,5,10,202,NA,"S.TEAMS",177.8,91.82,NA,NA,178.89
"Bates"," John","TE","WAS",87,6,6,259,"11/6/97","WR-TE",198.12,117.73,1997-11-06,25.8,195.5
"Bates"," Ryan","G","BUF",71,6,4,302,"2/14/97","OL-G-C",193.04,137.27,1997-02-14,26.5,191.58
"Bates III"," Jessie","S","ATL",30,6,1,200,"2/26/97","DB-CB-S",185.42,90.91,1997-02-26,26.5,185.67
"Battle"," Jordan","S","CIN",27,6,1,206,"12/14/00","DB-CB-S",185.42,93.64,2000-12-14,22.7,182.85
"Baun"," Zack","LB","NO",53,6,3,225,"12/30/96","LB",190.5,102.27,1996-12-30,26.6,188.88
"Bawden"," Nick","FB","NYJ",48,6,2,245,"6/22/96","RB-FB",187.96,111.36,1996-06-22,27.1,187.59
"Beach"," Tyler","G","HOU",65,6,6,290,"6/14/99","OL-G-C",198.12,131.82,1999-06-14,24.2,197.78
"Beachum"," Kelvin","OL","ARI",68,6,3,308,"6/8/89","OL-G-C",190.5,140,1989-06-08,34.2,190.4
"Beal Jr."," Robert","DL","SF",33,6,4,250,"8/18/99","DL-DE",193.04,113.64,1999-08-18,24,191.06
"Beasley"," Cole","WR","NYG",NA,5,8,174,"4/26/89","WR-TE",172.72,79.09,1989-04-26,34.3,173.56
"Beathard"," C.J.","QB","JAC",3,6,2,215,"11/16/93","QB",187.96,97.73,1993-11-16,29.7,188.02
"Beauplan"," Abraham","LB","MIN",39,6,2,235,"2/3/00","LB",187.96,106.82,2000-02-03,23.5,188.44
"Beavers"," Darrian","LB","NYG",43,6,4,255,"7/5/99","LB",193.04,115.91,1999-07-05,24.1,193.87
"Beck"," Andrew","FB","HOU",47,6,3,255,"5/15/96","RB-FB",190.5,115.91,1996-05-15,27.2,191.91
"Beckham Jr."," Odell","WR","BAL",3,5,11,198,"11/5/92","WR-TE",180.34,90,1992-11-05,30.8,179.89
"Becton"," Mekhi","OT","NYJ",77,6,7,363,"4/18/99","OL-G-C",200.66,165,1999-04-18,24.3,199
"Bell"," Blake","TE","KC",81,6,6,252,"8/7/91","WR-TE",198.12,114.55,1991-08-07,32,199.01
"Bell"," D'Anthony","S","CLE",37,6,1,211,"10/17/96","DB-CB-S",185.42,95.91,1996-10-17,26.8,186.9
"Bell"," David","WR","CLE",18,6,1,212,"12/14/00","WR-TE",185.42,96.36,2000-12-14,22.7,186.74
"Bell"," Greg","RB","PIT",NA,6,0,200,"6/16/98","RB-FB",182.88,90.91,1998-06-16,25.2,185.25
"Bell"," Levi","DE","SEA",NA,6,1,275,NA,"DL-DE",185.42,125,NA,NA,184.71
"Bell"," Markquese","S","DAL",41,6,3,205,"1/6/99","DB-CB-S",190.5,93.18,1999-01-06,24.6,190.55
"Bell"," Ronnie","WR","SF",10,6,0,192,"1/28/00","WR-TE",182.88,87.27,2000-01-28,23.5,181.25
"Bell"," Travis","DL","CHI",73,6,0,310,"10/27/98","DL-DE",182.88,140.91,1998-10-27,24.8,185.48
"Bell"," Vonn","S","CAR",24,5,11,205,"12/12/94","DB-CB-S",180.34,93.18,1994-12-12,28.7,180.57
"Bellinger"," Daniel","TE","NYG",82,6,5,253,"9/22/00","WR-TE",195.58,115,2000-09-22,22.9,194.38
"Bellore"," Nick","LB","SEA",44,6,1,250,"5/12/89","LB",185.42,113.64,1989-05-12,34.3,185.71
"Belton"," Dane","S","NYG",24,6,1,205,"12/7/00","DB-CB-S",185.42,93.18,2000-12-07,22.7,188.79
"Benford"," Christian","CB","BUF",47,6,1,205,"9/21/00","DB-CB-S",185.42,93.18,2000-09-21,22.9,185.97
"Benjamin"," Eno","RB","NO",26,5,9,207,"4/13/99","RB-FB",175.26,94.09,1999-04-13,24.3,175.95
"Bennett"," Jakorian","CB","LV",29,5,11,195,"8/23/00","DB-CB-S",180.34,88.64,2000-08-23,23,180.28
"Bennett"," Stetson","QB","LAR",13,5,11,190,"10/28/97","QB",180.34,86.36,1997-10-28,25.8,180.48
"Benson"," Seth","LB","DEN",57,6,0,231,"7/27/99","LB",182.88,105,1999-07-27,24,183.02
"Benson"," Trinity","WR","DET",19,6,0,180,"1/16/97","WR-TE",182.88,81.82,1997-01-16,26.6,183.72
"Bentley"," Ja'Whaun","LB","NE",8,6,2,244,"8/24/96","LB",187.96,110.91,1996-08-24,27,188
"Benton"," Keeanu","DL","PIT",95,6,4,309,"7/17/01","DL-DE",193.04,140.45,2001-07-17,22.1,194.32
"Bergeron"," Matthew","OL","ATL",65,6,5,323,"2/26/00","OL-G-C",195.58,146.82,2000-02-26,23.5,194.89
"Bernard"," Terrel","LB","BUF",43,6,1,224,"5/7/99","LB",185.42,101.82,1999-05-07,24.3,184.97
"Bernard-Converse"," Jarrick","S","NYJ",29,6,1,197,"4/29/00","DB-CB-S",185.42,89.55,2000-04-29,23.3,184.32
"Bernhardt"," Jared","WR","ATL",NA,6,1,195,"9/12/97","WR-TE",185.42,88.64,1997-09-12,25.9,185.84
"Berrios"," Braxton","WR","MIA",0,5,9,190,"10/6/95","WR-TE",175.26,86.36,1995-10-06,27.9,176.56
"Bethel"," Justin","CB","MIA",20,6,0,200,"6/17/90","DB-CB-S",182.88,90.91,1990-06-17,33.2,182.02
"Biadasz"," Tyler","C","DAL",63,6,3,316,"11/20/97","OL-G-C",190.5,143.64,1997-11-20,25.7,191.51
"Biggers"," Caleb","CB","CLE",39,5,10,202,"11/2/99","DB-CB-S",177.8,91.82,1999-11-02,23.8,180.33
"Bigsby"," Tank","RB","JAC",4,6,0,213,"8/30/01","RB-FB",182.88,96.82,2001-08-30,22,184.13
"Billings"," Andrew","DL","CHI",97,6,1,311,"3/6/95","DL-DE",185.42,141.36,1995-03-06,28.4,185.29
"Bitonio"," Joel","G","CLE",75,6,4,320,"10/11/91","OL-G-C",193.04,145.45,1991-10-11,31.8,193.75
"Black"," Henry","S","IND",36,6,0,204,"1/3/97","DB-CB-S",182.88,92.73,1997-01-03,26.6,184.75
"Black"," Tarik","WR","BAL",0,6,3,213,"2/10/98","WR-TE",190.5,96.82,1998-02-10,25.5,191.22
"Blacklock"," Ross","DL","MIN",96,6,5,307,"7/9/98","DL-DE",195.58,139.55,1998-07-09,25.1,193.64
